OBJECTID,Well_IDKey,Well_Name,Well_Depth,Well_Casing_Stickup,Well_Location_Latitude,Well_Location_Longitude,Well_Location_Elevation,Well_OSE_Permit,Well_Type,GlobalID,NMT_ID,IndexDesignation,AquiferCode,ScreenInterval,CreationDate,Creator,EditDate,Editor,x,y
1,373,9-Mile Hill LF,740,0,35.071526,-106.778477,5642.196,,MW,4f92c895-6b41-42d6-be6b-508ee44812fa,BC-0364,M,112SNTF,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:05:52,pheinstein_NRS,-106.778476609042,35.0715255243028
2,374,Altamont,1010,1.11,35.17610167,-106.5263,5711.241,RG-93820-POD2,MW,e56613ba-f8f0-4bb2-ae44-c4700d667edf,BC-0446,M,112QTBFppm,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:11:50,pheinstein_NRS,-106.5263,35.17610167
3,353,Anaya 01,340,2.8,34.9871611,-106.293375,7360.077,E-10193,DOM,26903459-7cf3-4b71-99be-a134fd0d783f,BC-0334,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:44:39,pheinstein_NRS,-106.293375,34.9871611
4,354,Anaya 02,600,1,34.9831167,-106.3021028,7423.936,E-5078-X,DOM,a45279f2-4558-4c35-97e6-850e84cf9af1,BC-0335,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:45:18,pheinstein_NRS,-106.3021028,34.9831167
5,375,Arroyo Vista,1424,0.89,35.097785,-106.7463583,5313.667,RG-67900-EXPL,MW,a27691e1-904a-490a-84dd-ba58eea2f69b,BC-0366,M,112SNTF,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:45:53,pheinstein_NRS,-106.7463583,35.097785
6,376,Bachechi DW,125,0,35.19230833,-106.6398517,4995.491,RG-91005,MW,c8a6985a-b3be-43c1-b954-46ac2227b4de,BC-0367,M,100ALVM,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:07:35,pheinstein_NRS,-106.6398517,35.1923083300001
7,377,Bachechi OW,47,3.4,35.19258167,-106.639535,4995.789,RG-91184-POD3,MW,9a5a650f-c82b-4ee6-b759-f22a77277274,BC-0368,M,100ALVM,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:07:54,pheinstein_NRS,-106.639535,35.19258167
8,282,Bank Well 1,330,1.61,35.0563056,-106.4650944,5895.803,RG-91227,MW,5e4f1e98-9f9d-4f86-b43b-dc29f45ff00f,BC-0266,M,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:48:42,pheinstein_NRS,-106.4650944,35.0563056
9,198,BCFD 41,600,1.13,34.978561,-106.321527,7516.934,RG-30135,MW,f0456be5-cff4-4bb1-bcea-6d020cc10030,BC-0198,M,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:49:26,pheinstein_NRS,-106.321527,34.9785610000001
10,200,BCFD 41 Sub,600,2.36,34.98553,-106.260748,7256.632,E-4922,MW,ffe6a52c-1b14-4544-ad46-f91185837b21,BC-0200,M,325MDER,400 - 600,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:50:01,pheinstein_NRS,-106.260748,34.98553
11,201,BCFD 46,0,-0.4,35.162703,-106.343116,6811.818,S-231,MW,b6cfe2b8-3720-4e01-a5ef-f38e79845028,BC-0201,Z,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:50:40,pheinstein_NRS,-106.343116,35.1627030000001
12,202,BCFD 46 Sub,640,1.1,35.14094,-106.25482,6915.065,S-1342,MW,ba20d216-e77b-4777-bc1f-9fa303a45b5d,BC-0202,M,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:51:23,pheinstein_NRS,-106.25482,35.1409400000001
13,204,BCFD Wildland Sub,301,2.28,35.118025,-106.373254,6728.875,S-1202,MW,23a9f25f-28b0-4554-a77a-296adb30cd02,BC-0204,M,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:52:41,pheinstein_NRS,-106.373254,35.118025
14,199,BCPW EMA South Yard,123,1.8,35.095994,-106.369678,6440.233,S-02590,MW,0c13279a-4a6d-411f-a4f6-725f38c001b6,BC-0199,M,318YESO,67 - 123,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:53:22,pheinstein_NRS,-106.369678,35.0959940000001
15,205,BCPW EMA Transfer Station,300,0.3,35.098765,-106.361525,6468.615,RG-41160 renamed S-1551,MM,75aea855-a452-4edd-9565-85c5252fae2d,BC-0205,M,318ABO,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:55:06,pheinstein_NRS,-106.361525,35.0987650000001
16,378,Big sky,900,1.5,35.1815333,-106.51952,5787.271,RG-74057,MM,123e3297-5dbb-44cc-ab4e-2edddab8603a,BC-0447,M,112QTBFppm,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:11:16,pheinstein_NRS,-106.51952,35.1815333000001
17,292,Botts Ranch 1,370,1.83,35.133486,-106.377306,7058.816,S-2413,DOM,d66c2573-c70a-4db9-8430-e2663d8dd1fc,BC-0268,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:56:47,pheinstein_NRS,-106.377306,35.1334860000001
18,293,Botts Ranch 2,400,2.63,35.133117,-106.377386,7066.634,S-2412,DOM,9071fd31-1eb7-42d6-852b-e1ba85ca3567,BC-0269,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:57:06,pheinstein_NRS,-106.377386,35.133117
19,294,Botts Ranch 3,370,-5,35.134061,-106.379125,7100.462,S-02413,DOM,bfc4e2fc-6d6c-44b4-a471-eb9624db7d93,BC-0270,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:57:28,pheinstein_NRS,-106.379125,35.134061
20,295,Botts Ranch 4,320,1.67,35.132233,-106.3733,7015.032,S-2402,DOM,4cb943ef-0df9-42f2-92e6-123c383ea11c,BC-0271,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-21T17:10:38,pheinstein_NRS,-106.3733,35.132233
21,296,Botts Ranch 5,500,1.31,35.132075,-106.375436,7032.442,S-2715,DOM,5f5dcac1-bb55-4f46-9fa0-272593fefbd3,BC-0272,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:59:25,pheinstein_NRS,-106.375436,35.132075
22,61,Botts Ranch 6,285,0.83,35.132347,-106.372909,7008.348,S-1769,DOM,b2332aad-1e7c-4b48-bac3-dd6b85d977f2,BC-0076,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:59:54,pheinstein_NRS,-106.372909,35.132347
23,2,Buckboard 2,360,1.14,34.955972,-106.308379,7410.214,E-4316,DOM,7116a6c7-ce0c-4eb1-aa83-6c11a9ee1231,BC-0002,M,325MDER,300 - 360,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:07:10,pheinstein_NRS,-106.308379,34.955972
